7,"Narsarsuaq","Narssarssuaq","Greenland","UAK","BGBW",61.160517,-45.425978,112,-3,"E"
8,"Nuuk","Godthaab","Greenland","GOH","BGGH",64.190922,-51.678064,283,-3,"E"
9,"Sondre Stromfjord","Sondrestrom","Greenland","SFJ","BGSF",67.016969,-50.689325,165,-3,"E"
10,"Thule Air Base","Thule","Greenland","THU","BGTL",76.531203,-68.703161,251,-4,"E"
286,"Habib Bourguiba Intl","Monastir","Tunisia","MIR","DTMB",35.758056,10.754722,9,0,"E"
287,"Carthage","Tunis","Tunisia","TUN","DTTA",36.851033,10.227217,22,0,"E"
288,"Sidi Ahmed Air Base","Bizerte","Tunisia","","DTTB",37.245447,9.791453,20,0,"E"
289,"Remada","Remada","Tunisia","","DTTD",32.306156,10.382108,1004,0,"E"
290,"Gafsa","Gafsa","Tunisia","GAF","DTTF",34.422022,8.822503,1060,0,"E"
291,"Gabes","Gabes","Tunisia","GAE","DTTG",33.876919,10.103333,26,0,"E"
292,"Borj El Amri","Bordj El Amri","Tunisia","","DTTI",36.721339,9.943147,108,0,"E"
293,"Zarzis","Djerba","Tunisia","DJE","DTTJ",33.875031,10.775461,19,0,"E"
294,"El Borma","El Borma","Tunisia","EBM","DTTR",31.704281,9.254619,827,0,"E"
295,"Thyna","Sfax","Tunisia","SFA","DTTX",34.717953,10.690972,85,0,"E"
296,"Nefta","Tozeur","Tunisia","TOE","DTTZ",33.939722,8.110556,287,0,"E"
299,"Deurne","Antwerp","Belgium","ANR","EBAW",51.189444,4.460278,39,1,"E"
300,"Beauvechain","Beauvechain","Belgium","","EBBE",50.75861,4.768333,370,1,"E"
301,"Kleine Brogel","Kleine Brogel","Belgium","","EBBL",51.168333,5.47,200,1,"E"
302,"Brussels Natl","Brussels","Belgium","BRU","EBBR",50.901389,4.484444,184,1,"E"
303,"Bertrix","Bertrix","Belgium","","EBBX",49.891667,5.223889,1514,1,"E"
304,"Brussels South","Charleroi","Belgium","CRL","EBCI",50.459197,4.453817,614,1,"E"
305,"Chievres Ab","Chievres","Belgium","","EBCV",50.575833,3.831,193,1,"E"
306,"Koksijde","Koksijde","Belgium","","EBFN",51.090278,2.652778,20,1,"E"
307,"Florennes","Florennes","Belgium","","EBFS",50.243333,4.645833,935,1,"E"
308,"Wevelgem","Kortrijk-vevelgem","Belgium","QKT","EBKT",50.817222,3.204722,64,1,"E"
309,"Liege","Liege","Belgium","LGG","EBLG",50.637417,5.443222,659,1,"E"
310,"Oostende","Ostend","Belgium","OST","EBOS",51.198889,2.862222,13,1,"E"
311,"Zutendaal","Zutendaal","Belgium","","EBSL",50.9475,5.590556,312,1,"E"
312,"Sint Truiden","Sint-truiden","Belgium","","EBST",50.791944,5.201667,246,1,"E"
313,"Saint Hubert Mil","St.-hubert","Belgium","","EBSU",50.035833,5.404167,1930,1,"E"
314,"Ursel","Ursel","Belgium","","EBUL",51.144133,3.474361,95,1,"E"
315,"Weelde","Weelde","Belgium","","EBWE",51.394783,4.960194,105,1,"E"
316,"Zoersel","Zoersel","Belgium","","EBZR",51.264722,4.753333,53,1,"E"
317,"Bautzen","Bautzen","Germany","BBJ","EDAB",51.193531,14.519747,568,1,"E"
318,"Altenburg Nobitz","Altenburg","Germany","AOC","EDAC",50.981817,12.506361,640,1,"E"
319,"Dessau","Dessau","Germany","","EDAD",51.831828,12.184033,187,1,"E"
320,"Eisenhuttenstadt","Eisenhuettenstadt","Germany","","EDAE",52.197333,14.585667,149,1,"E"
322,"Grossenhain","Suhl","Germany","","EDAK",51.308111,13.554973,417,1,"E"
323,"Merseburg","Muehlhausen","Germany","","EDAM",51.363,11.940833,340,1,"E"
324,"Halle Oppin","Halle","Germany","","EDAQ",51.552,12.052667,347,1,"E"
325,"Riesa Gohlis","Riesa","Germany","","EDAU",51.2935,13.356,322,1,"E"
326,"Rechlin Larz","Rechlin-laerz","Germany","","EDAX",53.306417,12.753139,220,1,"E"
327,"Strausberg","Strausberg","Germany","","EDAY",52.579978,13.915683,263,1,"E"
328,"Schonhagen","Schoenhagen","Germany","","EDAZ",52.203258,13.158408,131,1,"E"
329,"Barth","Barth","Germany","BBH","EDBH",54.33754,12.699705,23,1,"E"
330,"Jena Schongleina","Jena","Germany","","EDBJ",50.915161,11.714519,1228,1,"E"
331,"Kyritz","Kyritz","Germany","","EDBK",52.918833,12.425333,130,1,"E"
332,"Magdeburg","Magdeburg","Germany","","EDBM",52.073658,11.626467,268,1,"E"
333,"Rothenburg Gorlitz","Rothenburg/ol","Germany","","EDBR",51.363167,14.95,517,1,"E"
334,"Anklam","Anklam","Germany","","EDCA",53.8327,13.669131,18,1,"E"
335,"Cottbus Drewitz","Cottbus","Germany","","EDCD",51.889475,14.531986,274,1,"E"
336,"Kamenz","Kamenz","Germany","","EDCM",51.29625,14.129,495,1,"E"
337,"Schonefeld","Berlin","Germany","SXF","EDDB",52.380001,13.5225,157,1,"E"
338,"Dresden","Dresden","Germany","DRS","EDDC",51.132767,13.767161,755,1,"E"
339,"Erfurt","Erfurt","Germany","ERF","EDDE",50.979811,10.958106,1036,1,"E"
